Locality,DateBins,Lat.,Long.,D_sum,N_sum,B_sum,R_sum,x_sum,F_sum,Q_sum,K_sum,E_sum,L_sum,n_sum,A_sum,G_sum,I_sum,J_sum,C_sum,O_sum,H_sum,P_sum,T_sum,y_haplos_sum
Andalusia. Granada. Paseíllos universitarios-Fuentenueva,1001-1500,37.1775,-3.609166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andalusia. Sevilla. Alcalá del Río. La Angorrilla,2501-3000,37.51833,-5.97833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ando,6501-7000,34.5256181,127.7474653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres,0-1000,18.44,-69.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres,1001-1500,18.44,-69.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andres,3001-3500,18.44,-69.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andriesvale. Northern Cape. South Africa,0-1000,-27.0,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anglesey. Wales. Glyn Llanbedrgoch,0-1000,53.3,-4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ansarve,5001-5500,57.509,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antaura,0-1000,-15.6852,-72.6218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apc-Berekalya I,5001-5500,47.167,19.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apc-Berekalya I,6001-6500,47.167,19.833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Apollonia (Marmara. Bursa. Gölyazı),1501-2000,40.18,28.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqmola Region. Krasnoselsky,2001-2500,48.24,58.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragon,0-1000,41.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arban 1,3001-3500,52.954,90.187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ardu. Harju,4501-5000,59.1,25.37,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Areni 1,5501-6000,39.73,45.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Areni 1,6001-6500,39.73,45.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argolid. Franchthi Cave,5501-6000,37.423333,23.132222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Delen Tolgoi. Melkhii Chuluu,0-1000,48.604508,101.937847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Emeel Tolgoi,2001-2500,47.783028,101.993111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Erdenemandal,5501-6000,48.5147146,101.3076552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Khanui,0-1000,48.090861,100.542217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Khirgest Khooloi,0-1000,47.55361111,102.6383333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Khudgiin Am,2001-2500,47.834494,101.714282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Olon Dov,1001-1500,47.11078,102.078841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Solbi Uul,2001-2500,47.742186,101.773072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Tamiryn Ulaan Khoshuu. Burkhan Tolgoi,1501-2000,47.799255,102.361242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arkhangai. Tsaidam Bag. Shiveet Tolgoi,2501-3000,47.11078,102.078841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenoi. Crete,3001-3500,35.45,24.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arroyo Seco II,7001-7500,-38.3605556,-60.2441667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arroyo Seco II,7501-8000,-38.3605556,-60.2441667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
