+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+---------------+-----------+-----------+----------+----------+----------+---------+----------+----------+---------+-----------+-----------+-----------+-----------+---------+-----------+----------+---------+-----------+-----------+----------+----------------+
|      | CombinedBins                                                                                                                                                                                                                                                                                                                                                                                                                          |       Lat. |         Long. |     I_sum |     F_sum |    E_sum |    A_sum |    Q_sum |   D_sum |    H_sum |    R_sum |   x_sum |     N_sum |     G_sum |     T_sum |     B_sum |   K_sum |     L_sum |    n_sum |   O_sum |     C_sum |     J_sum |    P_sum |   y_haplos_sum |
|   38 | Alicante. Alcoi. Llometes ( 5501-6000 )                                                                                                                                                                                                                                                                                                                                                                                               |  38.7025   |   -0.48631    |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   39 | Alicante. Aspe. La Horna ( 3001-3500 )                                                                                                                                                                                                                                                                                                                                                                                                |  38.344    |   -0.77       |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|   40 | Alicante. Aspe. La Horna ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                                                |  38.344    |   -0.77       |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|   41 | Alicante. Planes. Cova d' En Pardo ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                                                                      |  38.7832   |   -0.34       |   0       |   0       |   0      |   0      |   0      |       0 | 100      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              4 |
|   42 | Alicante. Villena. Cabezo Redondo ( 3001-3500 )                                                                                                                                                                                                                                                                                                                                                                                       |  38.6433   |   -0.896      |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   43 | Alicante. Villena. Cueva de las Lechuzas ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                                                                |  38.6303   |   -0.863      |  80       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |  20       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              5 |
|   44 | Alicante. Villena. Peñón de la Zorra ( 4501-5000 )                                                                                                                                                                                                                                                                                                                                                                                    |  38.6446   |   -0.87       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   45 | Alicante. Villena. Puntal de los Carniceros ( 3501-4000 )                                                                                                                                                                                                                                                                                                                                                                             |  38.6274   |   -0.864597   |   0       |   0       |   0      |   0      |   0      |       0 |   0      | 100      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              1 |
|   46 | Almaty Region. Kerbulak District. Kaspan Valley. Kaspan-2. mound 3 ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                      |  43.65     |   78.52       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
|   47 | Almaty Region. Kerbulak District. Kaspan Valley. Kaspan-6. mound 1 ( 2501-3000 )                                                                                                                                                                                                                                                                                                                                                      |  44.49     |   78.27       |   0       |   0       |   0      |   0      |   0      |       0 |   0      |   0      |       0 |   0       |   0       |   0       |   0       |       0 |   0       |   0      |       0 |   0       |   0       |   0      |              0 |
